Celebrity,Spouse,Start_Date,End_Date,End_Cause,Country,Occupation
Ernest Borgnine,Ethel Merman,1964-06-27,1965-05-25,,United States,actor
Martha Argerich,Charles Dutoit,1969-01-01,1973-01-01,,Argentina,musician
Q128297,Giovanni Battista Meneghini,1949-04-21,1959-01-01,,United States,actor
Marlene Dietrich,Rudolf Sieber,1923-05-17,1976-06-24,death of subject's spouse,German Reich,actor
Hank Azaria,Helen Hunt,1999-01-01,2000-01-01,,United States,actor
Otto Sander,Monika Hansen,1971-01-01,2013-01-01,,Germany,actor
Michel Piccoli,Juliette Gréco,1966-01-01,1977-01-01,,France,actor
Scarlett Johansson,Ryan Reynolds,2008-09-27,2011-07-01,,United States,actor
Paul Bettany,Jennifer Connelly,2003-01-01,,,United States,actor
Frank Sinatra,Ava Gardner,1951-11-07,1957-07-05,divorce,United States,actor
Paul Bettany,Jennifer Connelly,2003-01-01,,,United Kingdom,actor
Orlando Bloom,Miranda Kerr,2010-01-01,2013-01-01,,United Kingdom,actor
Hedy Lamarr,Teddy Stauffer,1951-01-01,1952-01-01,,Austria,actor
Hedy Lamarr,Teddy Stauffer,1951-01-01,1952-01-01,,Austria,musician
Ethel Merman,Ernest Borgnine,1964-01-01,1964-01-01,,United States,actor
Leslie Caron,Michael Laughlin,1969-01-01,1980-01-01,,United States,actor
Marlene Dietrich,Rudolf Sieber,1923-05-17,1976-06-24,death of subject's spouse,Nazi Germany,actor
Antonio Banderas,Melanie Griffith,1996-05-14,2015-01-01,,Spain,actor
Giovanni Ribisi,Agyness Deyn,2012-01-01,2015-01-01,,United States,actor
Marlene Dietrich,Rudolf Sieber,1923-05-17,1976-06-24,death of subject's spouse,Weimar Republic,actor
Teresa Wright,Robert Anderson,1959-01-01,1978-01-01,,United States,actor
Ryan Reynolds,Blake Lively,2012-09-09,,,United States,actor
Robert Duvall,Luciana Pedraza,2005-01-01,,,United States,actor
Emmanuelle Béart,Daniel Auteuil,1993-09-10,1995-09-21,,France,actor
Blake Lively,Ryan Reynolds,2012-09-09,,,United States,actor
Macaulay Culkin,Brenda Song,2017-01-01,,,United States,actor
Macaulay Culkin,Brenda Song,2017-01-01,,,United States,musician
Cheryl,Ashley Cole,2006-01-01,2010-01-01,,United Kingdom,actor
Joseph L. Mankiewicz,Rose Stradner,1939-01-01,1958-01-01,,United States,actor
Frank Sinatra,Ava Gardner,1951-11-07,1957-07-05,divorce,Italy,actor
Peter Lorre,Kaaren Verne,1945-01-01,1950-01-01,,United States,actor
Frederik IX of Denmark,Ingrid of Sweden,1935-05-24,,,Kingdom of Denmark,musician
Penélope Cruz,Javier Bardem,2010-07-01,,,Spain,actor
Ava Gardner,Mickey Rooney,1942-01-10,1943-01-01,divorce,United States,actor
Val Kilmer,Joanne Whalley,1988-01-01,1996-01-01,divorce,United States,actor
Michelle Yeoh,Jean Todt,2023-07-27,,,Malaysia,actor
Maya Plisetskaya,Rodion Shchedrin,1958-01-01,2015-01-01,,Spain,actor
Leslie Caron,Michael Laughlin,1969-01-01,1980-01-01,,France,actor
Melvyn Douglas,Helen Gahagan Douglas,1931-01-01,1980-01-01,,United States,actor
Maya Plisetskaya,Rodion Shchedrin,1958-01-01,2015-01-01,,Lithuania,actor
Q234847,Ian Somerhalder,2015-01-01,,,United States,actor
Louis Malle,Candice Bergen,1980-09-27,1995-11-23,,France,actor
Yves Montand,Simone Signoret,1951-12-22,1985-09-30,,France,actor
Naomi Scott,Jordan Spence,,,,United Kingdom,actor
"Meghan, Duchess of Sussex","Prince Harry, Duke of Sussex",2018-05-19,,,United States,actor
Geena Davis,Jeff Goldblum,1987-11-01,1990-10-17,,United States,actor
Mel Brooks,Anne Bancroft,1964-08-05,2005-06-06,,United States,actor
Ryan Reynolds,Blake Lively,2012-09-09,,,Canada,actor
Warren Beatty,Annette Bening,1992-03-12,,,United States,actor
John Lennon,Yoko Ono,1969-03-20,1980-12-08,death of subject,United Kingdom,actor
Malcolm McDowell,Mary Steenburgen,1980-09-29,1990-10-01,,United Kingdom,actor
Dennis Quaid,Meg Ryan,1991-01-01,2001-01-01,divorce,United States,actor
Margaret Qualley,Jack Antonoff,2023-01-01,,,United States,actor
Maya Plisetskaya,Rodion Shchedrin,1958-01-01,2015-01-01,,Germany,actor
Peter Lorre,Kaaren Verne,1945-01-01,1950-01-01,,Austria,actor
Emil Jannings,Hanna Ralph,1919-01-01,1921-01-01,divorce,Germany,actor
Yves Montand,Simone Signoret,1951-12-22,1985-09-30,,Kingdom of Italy,actor
Gong Li,Jean-Michel Jarre,2019-01-01,,,People's Republic of China,actor
Maximilian Schell,Iva Mihanović,,,,Switzerland,actor
Alain Resnais,Sabine Azéma,1998-01-01,2014-03-01,,France,actor
Tom Cruise,Katie Holmes,2006-11-28,2012-08-20,,United States,actor
Elizabeth Taylor,Richard Burton,1964-03-15,1974-06-26,divorce,United States,actor
Justin Timberlake,Jessica Biel,2012-10-19,,,United States,actor
Elizabeth Taylor,Richard Burton,1964-03-15,1974-06-26,divorce,United Kingdom,actor
Cher,Sonny Bono,1969-01-01,1975-01-01,divorce,United States,actor
Emil Jannings,Hanna Ralph,1919-01-01,1921-01-01,divorce,Austria,actor
Alec Baldwin,Kim Basinger,1993-08-19,2002-09-03,divorce,United States,actor
Emil Jannings,Lucie Höflich,1921-08-09,1922-06-13,divorce,Germany,actor
Blake Edwards,Julie Andrews,1969-01-01,2010-12-15,death of subject,United States,actor
Humphrey Bogart,Lauren Bacall,1945-01-01,1957-01-14,death of subject's spouse,United States,actor
Charlie Chaplin,Oona O'Neill,1943-01-01,1977-01-01,death of subject,United Kingdom,actor
Wim Wenders,Donata Wenders,1993-01-01,,,Germany,actor
Emil Jannings,Lucie Höflich,1921-08-09,1922-06-13,divorce,Austria,actor
Maya Plisetskaya,Rodion Shchedrin,1958-01-01,2015-01-01,,Russia,actor
Elizabeth Taylor,Richard Burton,1975-10-10,1976-07-29,divorce,United States,actor
Elizabeth Taylor,Richard Burton,1975-10-10,1976-07-29,divorce,United Kingdom,actor
Q55245,Vivien Leigh,1940-08-30,1960-01-01,,United Kingdom,actor
Franz Werfel,Alma Mahler,1929-01-01,1945-08-26,,Austria–Hungary,musician
Frank Wedekind,Tilly Wedekind,1906-01-01,,,Kingdom of Prussia,actor
Maximilian Schell,Iva Mihanović,,,,Austria,actor
Don Johnson,Melanie Griffith,1976-01-01,1976-11-01,divorce,United States,actor
Barbara Stanwyck,Robert Taylor,1939-01-01,1951-01-01,,United States,actor
Q128297,Giovanni Battista Meneghini,1949-04-21,1959-01-01,,Greece,actor
John Barrymore,Dolores Costello,1928-01-01,1934-01-01,,United States,actor
Ajay Devgn,Kajol,1999-01-01,,,India,actor
Simone Signoret,Yves Montand,1951-12-22,1985-09-30,,France,actor
Louis XIV of France,Maria Theresa of Spain,1660-06-09,1683-07-30,death of subject's spouse,Kingdom of France,actor
Franz Werfel,Alma Mahler,1929-01-01,1945-08-26,,United States,musician
Dita Von Teese,Marilyn Manson,2005-01-01,2007-01-01,,United States,actor
Ali MacGraw,Steve McQueen,1973-01-01,1978-01-01,divorce,United States,actor
Marlene Dietrich,Rudolf Sieber,1923-05-17,1976-06-24,death of subject's spouse,United States,actor
Gong Li,Jean-Michel Jarre,2019-01-01,,,Singapore,actor
Michel Piccoli,Eléonore Hirt,1954-01-01,1965-01-01,,France,actor
Vittorio De Sica,Giuditta Rissone,1937-04-10,1954-01-01,divorce,France,actor
Vittorio De Sica,Giuditta Rissone,1937-04-10,1954-01-01,divorce,Italy,actor
Diane Lane,Christopher Lambert,1988-01-01,1994-01-01,,United States,actor
Maya Plisetskaya,Rodion Shchedrin,1958-01-01,2015-01-01,,Soviet Union,actor
Mary Elizabeth Winstead,Ewan McGregor,2022-01-01,,,United States,actor
Sophie Turner,Joe Jonas,2019-05-01,2023-09-01,divorce,United Kingdom,actor
Douglas Fairbanks,Mary Pickford,1920-03-28,1936-01-10,divorce,United States,actor
Jason Robards,Lauren Bacall,1961-01-01,1969-01-01,,United States,actor
Vittorio De Sica,Giuditta Rissone,1937-04-10,1954-01-01,divorce,Kingdom of Italy,actor
Emilio Estevez,Paula Abdul,1992-04-29,1994-01-01,,United States,actor
Luc Besson,Milla Jovovich,1997-12-14,1999-06-12,,France,actor
Emil Jannings,Hanna Ralph,1919-01-01,1921-01-01,divorce,German Reich,actor
Janet Leigh,Tony Curtis,1951-01-01,1962-01-01,,United States,actor
Peter Lorre,Kaaren Verne,1945-01-01,1950-01-01,,Weimar Republic,actor
Pamela Anderson,Kid Rock,2006-08-03,2007-02-01,divorce,United States,actor
Gwen Stefani,Blake Shelton,2021-07-03,,,United States,actor
Peter Jackson,Fran Walsh,1987-01-01,,,New Zealand,actor
Emil Jannings,Lucie Höflich,1921-08-09,1922-06-13,divorce,German Reich,actor
Richard Gere,Cindy Crawford,1991-01-01,1995-01-01,,United States,actor
Gary Oldman,Uma Thurman,1990-10-01,1992-04-30,,United States,actor
Rainer Werner Fassbinder,Juliane Lorenz,,,,West Germany,actor
Gary Oldman,Uma Thurman,1990-10-01,1992-04-30,,United Kingdom,actor
Mickey Rooney,Ava Gardner,1942-01-10,1943-05-21,,United States,actor
Dennis Rodman,Carmen Electra,1998-11-14,1999-04-06,,United States,actor
Charles Bronson,Jill Ireland,1968-10-05,1990-05-18,,United States,actor
Marlene Dietrich,Rudolf Sieber,1923-05-17,1976-06-24,death of subject's spouse,German Empire,actor
Kenneth Branagh,Emma Thompson,1989-08-20,1995-01-01,,United Kingdom,actor
Don Johnson,Melanie Griffith,1989-01-01,1996-01-01,divorce,United States,actor
Daniel Auteuil,Emmanuelle Béart,1993-09-10,1995-09-21,,France,actor
Meg Ryan,Dennis Quaid,1991-01-01,2001-01-01,,United States,actor
Josh Duhamel,Fergie,2009-01-10,2017-01-01,divorce,United States,actor
Martha Argerich,Charles Dutoit,1969-01-01,1973-01-01,,Switzerland,musician
Daniel Craig,Rachel Weisz,2011-06-22,,,United States,actor
Daniel Craig,Rachel Weisz,2011-06-22,,,United Kingdom,actor
Aishwarya Rai Bachchan,Abhishek Bachchan,2007-04-20,,,India,actor
Nick Jonas,Priyanka Chopra,2018-12-01,,,United States,actor
Jane Birkin,John Barry,1965-10-16,1968-01-01,,United Kingdom,actor
Pamela Anderson,Kid Rock,2006-08-03,2007-02-01,divorce,Canada,actor
