Celebrity,Spouse,Start_Date,End_Date,End_Cause,Country,Occupation
Roger Moore,Doorn Van Steyn,1946-01-01,1953-01-01,divorce,United Kingdom,actor
Christine Lagarde,Xavier Giocanti,2020-01-01,,,France,athlete
Dwayne Johnson,Lauren Hashian,2019-08-18,,,Canada,actor
Luis Buñuel,Jeanne Rucar,1934-01-01,,,Spain,actor
Hal Holbrook,Carol Eve Rossen,1966-12-28,1983-01-01,,United States,actor
Anatoly Lunacharsky,Anna Lunacharskaya,,,,Russian Socialist Federative Soviet Republic,actor
John Hurt,Annette Robertson,1962-01-01,1964-01-01,,United Kingdom,actor
Gong Li,Ooi Hoe Seong,1996-11-01,2010-01-01,divorce,Singapore,actor
John Leguizamo,Justine Maurer,2003-01-01,,,United States,actor
Arvo Pärt,Nora Pärt,,,,Soviet Union,musician
Zsa Zsa Gabor,"Joshua S. Cosden, Jr.",1966-03-09,1967-10-18,,Austria–Hungary,actor
Noel Gallagher,Meg Mathews,1997-06-01,2001-01-01,divorce,United Kingdom,musician
Mike Myers,Kelly Tisdale,2010-10-04,,,Canada,actor
Q29033668,Offset,2017-09-20,2023-12-01,divorce,United States,actor
Q29033668,Offset,2017-09-20,2023-12-01,divorce,United States,musician
Christoph Waltz,Judith Holste,,,,Germany,actor
Alsou,Jan Abramov,,,,United Kingdom,actor
Shahid Kapoor,Mira Rajput,2015-07-07,,,India,actor
Vivien Leigh,Herbert Leigh Holman,1931-01-01,1940-01-01,,United Kingdom,actor
Orson Welles,Virginia Nicolson,1934-11-14,1940-02-01,,United States,actor
Zsa Zsa Gabor,"Joshua S. Cosden, Jr.",1966-03-09,1967-10-18,,United States,actor
Yevgeny Yevtushenko,Jan Butler,1978-01-01,1986-01-01,,Russia,actor
Leonard Cohen,Suzanne Elrod,,,,Canada,musician
Christoph Waltz,Judith Holste,,,,Austria,actor
Robin Williams,Valerie Velardi,1978-06-01,1988-01-01,divorce,United States,actor
Luis Buñuel,Jeanne Rucar,1934-01-01,,,Mexico,actor
Man Ray,Juliet Man Ray,,,,United States,actor
Feodor Chaliapin,Iole Tornaghi,1898-01-01,1938-04-12,death of subject,Russian Republic,actor
Q16759,Karl Cook,2018-06-30,2022-06-15,divorce,United States,actor
Armen Dzhigarkhanyan,Vitalina Tsymbalyuk-Romanovskaya,,,,Soviet Union,actor
Marcia Gay Harden,Thaddaeus Scheel,1996-01-01,2012-01-01,,United States,actor
Hailee Steinfeld,Josh Allen,2025-05-31,,,United States,actor
Norodom Sihanouk,Sisowath Pongsanmoni,1944-01-01,1951-01-01,,Cambodia,actor
Norodom Sihanouk,Sisowath Pongsanmoni,1944-01-01,1951-01-01,,Cambodia,musician
Armen Dzhigarkhanyan,Vitalina Tsymbalyuk-Romanovskaya,,,,Armenia,actor
Anatoly Lunacharsky,Anna Lunacharskaya,,,,Soviet Union,actor
Maria Bello,Dominique Crenn,,,,United States,actor
Ozzy Osbourne,Thelma Riley,1971-01-01,1982-01-01,divorce,United Kingdom,musician
Max von Sydow,Christina Olin,1951-08-01,1979-02-26,divorce,Sweden,actor
Dorothy Malone,Charles Huston Bell,1971-01-01,1974-01-01,,United States,actor
Alla Pugacheva,Q55661021,1985-01-01,1993-01-01,,Russia,actor
Paris Hilton,Carter Reum,2021-11-11,,,United States,actor
Kevin Hart,Eniko Hart,2016-08-13,,,United States,actor
Steve Martin,Anne Stringfield,2007-07-28,,,United States,actor
Steve Martin,Anne Stringfield,2007-07-28,,,United States,musician
Anatoly Lunacharsky,Anna Lunacharskaya,,,,Russian Empire,actor
Rita Hayworth,Edward C. Judson,1937-05-29,1942-01-01,,United States,actor
Man Ray,Juliet Man Ray,,,,France,actor
Sam Raimi,Gillian Greene,1993-01-01,2024-01-01,divorce,United States,actor
Mandy Moore,Taylor Goldsmith,2018-11-18,,,United States,actor
Jet Li,Huang Qiuyan,1987-01-01,1990-01-01,,Singapore,actor
Jet Li,Huang Qiuyan,1987-01-01,1990-01-01,,Singapore,athlete
Su Shi,Wang Runzhi,,,,Northern Song dynasty,musician
Max von Sydow,Christina Olin,1951-08-01,1979-02-26,divorce,France,actor
Gene Hackman,Betsy Arakawa,1991-12-01,2025-02-12,death of subject's spouse,United States,actor
Chester Bennington,Talinda Ann Bentley,2005-12-31,2017-07-20,,United States,actor
Chester Bennington,Talinda Ann Bentley,2005-12-31,2017-07-20,,United States,musician
Alsou,Jan Abramov,,,,Russia,actor
Vincent Cassel,Tina Kunakey,2018-08-24,2023-08-01,,Brazil,actor
Robert Redford,Sibylle Szaggars,2009-07-11,2025-09-16,death of subject,United States,actor
Mel Gibson,Robyn Moore,1980-06-07,2011-12-23,divorce,United States,actor
Gloria Swanson,Herbert K. Somborn,1919-01-01,,,United States,actor
Alexander Borodin,Ekaterina Protopopova,1863-04-29,1887-02-27,,Russian Empire,musician
Vivien Leigh,Herbert Leigh Holman,1932-01-01,1940-01-01,,United Kingdom,actor
Adam Driver,Joanne Tucker,2013-06-22,,,United States,actor
Roger Moore,Kristina Tholstrup,2002-01-01,2017-05-23,death,United Kingdom,actor
Rabindranath Tagore,Mrinalini Devi,1883-01-01,1902-01-01,death of subject's spouse,British Raj,actor
Pierre Beaumarchais,Marie-Thérèse-Amélie Caron de Beaumarchais,,,,France,musician
Gene Hackman,Faye Maltese,1956-01-01,1986-01-01,divorce,United States,actor
Lena Headey,Marc Menchaca,,,,United Kingdom,actor
Vincent Cassel,Tina Kunakey,2018-08-24,2023-08-01,,France,actor
Roger Bannister,Moyra Jacobsson,1955-01-01,,,United Kingdom,athlete
Mel Gibson,Robyn Moore,1980-06-07,2011-12-23,divorce,Ireland,actor
John Leguizamo,Justine Maurer,2003-01-01,,,Colombia,actor
Tupac Shakur,Keisha Morris,1995-04-29,1996-01-01,annulment,United States,actor
Burt Lancaster,Norma Anderson,1946-01-01,1969-01-01,,United States,actor
Mena Suvari,Simone Sestito,2010-06-26,2012-10-01,,United States,actor
Patton Oswalt,Michelle McNamara,2005-09-24,2016-04-21,death of subject's spouse,United States,actor
Chester Bennington,Samantha Marie Olit,1996-10-31,2005-05-02,,United States,actor
Chester Bennington,Samantha Marie Olit,1996-10-31,2005-05-02,,United States,musician
Jim Carrey,Melissa Womer,1987-01-01,1995-01-01,divorce,United States,actor
Spike Lee,Tonya Lewis Lee,,,,United States,actor
Lena Headey,Peter Loughran,2007-01-01,2013-01-01,,United Kingdom,actor
Maureen O'Hara,Will Price,1941-01-01,1952-01-01,,United States,actor
Virna Lisi,Franco Pesci,,,,Italy,actor
Feodor Chaliapin,Iole Tornaghi,1898-01-01,1938-04-12,death of subject,Russian Socialist Federative Soviet Republic,actor
Eddie Murphy,Paige Butcher,2024-01-01,,,United States,actor
Peter Dinklage,Erica Schmidt,2005-01-01,,,United States,actor
Frank Sinatra,Nancy Barbato,1939-02-04,1951-10-29,divorce,United States,actor
Pelé,Marcia Aoki,2016-01-01,2022-01-01,,Brazil,actor
Clark Gable,Kay Williams,1955-07-11,1960-11-16,death of subject,United States,actor
Diana Ross,Robert Ellis Silberstein,1971-01-01,1977-01-01,,United States,actor
Alec Baldwin,Hilaria Baldwin,2012-06-30,,,United States,actor
Virna Lisi,Franco Pesci,,,,Kingdom of Italy,actor
Peter Fonda,Susan Brewer,1961-10-08,1974-04-15,,United States,actor
Margot Robbie,Tom Ackerley,2016-12-01,,,Australia,actor
Max von Sydow,Catherine Brelet,1997-04-30,2020-03-08,,Sweden,actor
Sean Penn,Leila George,2020-07-30,2021-10-18,divorce,United States,actor
Buffalo Bill,Louisa Frederici,,,,United States,actor
Aaron Paul,Lauren Parsekian,2013-05-26,,,United States,actor
Maureen O'Hara,Will Price,1941-01-01,1952-01-01,,Ireland,actor
Sean Combs,Kim Porter,1997-01-01,2007-01-01,divorce,United States,actor
Jim Carrey,Melissa Womer,1987-01-01,1995-01-01,divorce,Canada,actor
Britney Spears,Jason Allen Alexander,2004-01-03,2004-01-05,divorce,United States,actor
Richard Gere,Alejandra Silva,2018-01-01,,,United States,actor
Beppe Grillo,Parvin Tadjik,1996-01-01,,,Italy,actor
Frank Sinatra,Nancy Barbato,1939-02-04,1951-10-29,divorce,Italy,actor
Anthony Hopkins,Jennifer Lynton,1973-01-01,2002-01-01,divorce,United States,actor
Tom Selleck,Jacqueline Ray,1972-01-01,1980-01-01,,United States,actor
Kyle MacLachlan,Desiree Gruber,2002-04-20,,,United States,actor
Anthony Hopkins,Jennifer Lynton,1973-01-01,2002-01-01,divorce,United Kingdom,actor
Zsa Zsa Gabor,Michael O'Hara,1976-08-27,1983-01-01,,Austria–Hungary,actor
Kevin Michael Richardson,Monica Richardson,2006-04-27,,,United States,actor
Brian De Palma,Darnell Gregorio-De Palma,1995-10-11,1997-04-18,,United States,actor
Andie MacDowell,Paul J. Qualley,1986-01-01,1999-01-01,divorce,United States,actor
Rex Harrison,Marjorie Thomas,1933-01-01,1942-01-01,divorce,United Kingdom,actor
Gloria Swanson,William N. Davey,1945-01-01,,,United States,actor
Buster Keaton,Eleanor Keaton,1940-01-01,1966-01-01,,United States,actor
Simon Wiesenthal,Cyla Wiesenthal,,,,Austria,musician
Claude Lelouch,Valérie Perrin,2023-01-01,,,France,actor
Angelique Kidjo,Jean Hébrail,1987-01-01,,,Benin,actor
Charles Bukowski,Linda Lee Bukowski,,,,United States,actor
Mike Nichols,Margot Callas,1963-01-01,1974-01-01,divorce,United States,actor
Nicki Minaj,Kenneth Petty,2019-10-21,,,Trinidad and Tobago,actor
Nancy Sinatra,Hugh Lambert,1970-01-01,1985-01-01,,United States,actor
Norma Shearer,Martin Arrougé,1942-01-01,,,United States,actor
Nancy Sinatra,Hugh Lambert,1970-01-01,1985-01-01,,United States,musician
Ellie Goulding,Caspar Jopling,2019-08-31,2024-02-24,,United Kingdom,actor
Edward James Olmos,Kaija Keel,1971-01-01,1992-01-01,divorce,Mexico,actor
Terry Jones,Anna Söderström,2012-01-01,,,United Kingdom,actor
Ethel Barrymore,Russell Griswold Colt,1909-03-14,1923-07-06,,United States,actor
Salman Rushdie,Clarissa Luard,1976-01-01,1987-01-01,,United States,actor
Henry Fonda,Shirley Maye Adams,1965-01-01,,,United States,actor
Roy Scheider,Brenda Siemer Scheider,1989-01-01,2008-01-01,,United States,actor
Salman Rushdie,Clarissa Luard,1976-01-01,1987-01-01,,United Kingdom,actor
Paolo Sorrentino,Daniela D'Antonio,,,,Italy,actor
John Lydon,Nora Forster,1979-01-01,2023-04-06,death of subject's spouse,Ireland,actor
Sean Bean,Debra James,1981-01-01,1988-01-01,divorce,United Kingdom,actor
Doris Day,Barry Comden,1976-01-01,1982-01-01,,United States,actor
Bedřich Smetana,Bettina Smetanová,1860-07-10,1884-05-12,,Austria–Hungary,musician
Mary Astor,Thomas G. Wheelock,1945-12-24,,,United States,actor
Phyllis Diller,Warde Donovan,1965-10-07,1975-01-01,divorce,United States,actor
John Grisham,Renee Grisham,1981-01-01,,,United States,actor
Phil Collins,Orianne Cevey,1999-01-01,2008-01-01,divorce,United Kingdom,actor
Phil Collins,Orianne Cevey,1999-01-01,2008-01-01,divorce,United Kingdom,musician
Charles Bukowski,Linda Lee Bukowski,,,,Germany,actor
Peter Gabriel,Jill Georgina Moore,1971-03-17,1987-01-01,,United Kingdom,actor
Norman Mailer,Beverly Rentz Bentley,,,,United States,actor
Rex Harrison,Mercia Tinker,1978-12-17,1990-06-02,death of subject,United Kingdom of Great Britain and Ireland,actor
John Barry,Barbara Pickard,1959-01-01,1963-01-01,,United States,musician
Norma Shearer,Martin Arrougé,1942-01-01,,,Canada,actor
Joan Fontaine,"Alfred Wright, Jr.",1964-01-01,1969-01-01,,United States,actor
Jon Bon Jovi,Dorothea Hurley,1989-04-29,,,United States,actor
John Barry,Barbara Pickard,1959-01-01,1963-01-01,,United Kingdom,musician
Norodom Sihanouk,Sisowath Monikessan,1941-01-01,1946-01-01,,Cambodia,actor
Norodom Sihanouk,Sisowath Monikessan,1941-01-01,1946-01-01,,Cambodia,musician
Joan Fontaine,"Alfred Wright, Jr.",1964-01-01,1969-01-01,,United Kingdom,actor
Peter Fonda,Portia Rebecca Crockett,1975-01-01,2011-01-01,,United States,actor
Angelique Kidjo,Jean Hébrail,,,,France,actor
Clark Gable,Maria Franklin,1931-06-19,1939-01-01,,United States,actor
Lila Downs,Paul Cohen,,,,United States,actor
Peter Gabriel,Meabh Flynn,2002-06-09,,,United Kingdom,actor
Jim Belushi,Jennifer Sloan,1998-01-01,2018-01-01,divorce,Albania,actor
Gene Tierney,W. Howard Lee,1960-07-11,1981-02-16,death of subject's spouse,United States,actor
Eric Idle,Tania Kosevich,1981-01-01,,,United Kingdom,actor
Q102711,Victoria Duffy,1996-04-13,2010-05-29,death of subject,United States,actor
Luke Perry,Rachel Sharp,1993-11-20,2003-10-11,divorce,United States,actor
Tom Jones,Linda Woodward,1957-03-02,2016-04-10,death,United Kingdom,actor
Bedřich Smetana,Kateřina Otylie Kolářová,1849-08-29,1859-04-01,,Austria–Hungary,musician
Sophia Bush,Grant Hughes,2022-01-01,2023-01-01,divorce,United States,actor
Michel Piccoli,Ludivine Clerc,1978-01-01,2020-05-12,death of subject,France,actor
Cary Grant,Barbara Harris,1981-04-15,,,United States,actor
Cary Grant,Barbara Harris,1981-04-15,,,United Kingdom,actor
Iggy Pop,Nina Alu,2008-01-01,,,United States,actor
Iggy Pop,Suchi Asano,1984-01-01,1999-01-01,,United States,actor
Salman Rushdie,Elizabeth West,1997-01-01,2004-01-01,,United States,actor
Salman Rushdie,Elizabeth West,1997-01-01,2004-01-01,,United Kingdom,actor
Jeremy Renner,Sonni Pacheco,2014-01-01,2015-01-01,,United States,musician
Gabriel Byrne,Áine O'Connor,1974-01-01,1986-01-01,,Ireland,actor
Lila Downs,Paul Cohen,,,,Mexico,actor
Bedřich Smetana,Bettina Smetanová,1860-07-10,1884-05-12,,Austrian Empire,musician
Irene Papas,Alkis Pappas,1947-01-01,1951-01-01,,Greece,actor
Gloria Swanson,Michael Farmer,1931-01-01,,,United States,actor
Germaine Greer,Paul du Feu,1968-05-01,,,Australia,actor
Mary Astor,Franklyn Thorpe,1931-06-29,,,United States,actor
Roy Scheider,Cynthia Scheider,1962-11-08,1989-01-01,,United States,actor
Robbie Coltrane,Rhona Irene Gemmell,1999-01-01,,,United Kingdom,actor
Douglas Fairbanks,Anna Beth Sully,1907-12-11,1919-01-01,divorce,United States,actor
Salman Rushdie,Clarissa Luard,1976-01-01,1987-01-01,,India,actor
Angelique Kidjo,Jean Hébrail,,,,Benin,actor
Norman Mailer,Bea Silverman,1944-01-01,,,United States,actor
Donna Reed,Tony Owen,1945-01-01,1971-01-01,,United States,actor
Norman Mailer,Carol Stevens,1980-01-01,,,United States,actor
Hedy Lamarr,Lewis J. Boies,1963-01-01,1965-01-01,,United States,actor
Hedy Lamarr,Lewis J. Boies,1963-01-01,1965-01-01,,United States,musician
Doris Day,Al Jorden,1941-03-01,1943-02-08,,United States,actor
Mickey Rooney,Carolyn Hockett,1969-01-01,,,United States,actor
Hugh Laurie,Jo Green,1989-06-01,,,United Kingdom,actor
David Lynch,Peggy Reavey,1967-01-01,1974-01-01,divorce,United States,actor
Hugh Laurie,Jo Green,1989-06-01,,,United Kingdom,musician
David Lynch,Peggy Reavey,1967-01-01,1974-01-01,divorce,United States,musician
Fritz Lang,Lily Latté,,,,United States,actor
Christina Hendricks,George Bianchini,2024-04-20,,,United States,actor
Christina Hendricks,George Bianchini,2024-04-20,,,United Kingdom,actor
Rex Harrison,Marjorie Thomas,1933-01-01,1942-01-01,divorce,United Kingdom of Great Britain and Ireland,actor
Eddie Redmayne,Hannah Jane Bagshawe,2014-12-15,,,United Kingdom,actor
Janet Leigh,Robert Brandt,,,,United States,actor
Anggun,Christian Kretschmar-Anggun,2018-08-16,,,Indonesia,actor
Bedřich Smetana,Kateřina Otylie Kolářová,1849-08-29,1859-04-01,,Austrian Empire,musician
Sean Bean,Georgina Sutcliffe,2008-01-01,2011-01-01,divorce,United Kingdom,actor
John Huston,Dorothy Harvey,1925-01-01,1933-01-01,divorce,United States,actor
Fritz Lang,Lily Latté,,,,Germany,actor
Q4039,Kim Garfunkel,,,,United States,actor
Miles Davis,Frances Taylor Davis,1959-12-21,1968-01-01,,United States,actor
Miles Davis,Frances Taylor Davis,1959-12-21,1968-01-01,,United States,musician
Hedy Lamarr,Lewis J. Boies,1963-01-01,1965-01-01,,Austria,actor
Hedy Lamarr,Lewis J. Boies,1963-01-01,1965-01-01,,Austria,musician
Richard Dawkins,Eve Barham,1984-06-01,,,United Kingdom,actor
Hedy Lamarr,W. Howard Lee,1953-01-01,1960-01-01,,United States,actor
Hedy Lamarr,W. Howard Lee,1953-01-01,1960-01-01,,United States,musician
Fritz Lang,Lily Latté,,,,Austria,actor
Marsha Hunt,"Robert Presnell, Jr.",1946-01-01,1986-01-01,death,United States,actor
Salman Rushdie,Elizabeth West,1997-01-01,2004-01-01,,India,actor
Marc Anthony,Nadia Ferreira,2023-01-01,,,United States,actor
Jeff Bennett,Susan Welby,1988-10-08,,,United States,actor
Thomas Young,Eliza Maxwell,1804-06-14,,,United Kingdom of Great Britain and Ireland,musician
Louis C.K.,Alix Bailey,1995-01-01,2008-01-01,,United States,actor
Naya Rivera,Ryan Dorsey,2014-07-19,2018-06-14,,United States,actor
Mickey Rooney,Marge Lane,1966-01-01,,,United States,actor
Rex Harrison,Mercia Tinker,1978-12-17,1990-06-02,death of subject,United Kingdom,actor
Loretta Young,Tom Lewis,1940-01-01,,,United States,actor
Gabriel Byrne,Hannah Beth King,2014-08-04,,,Ireland,actor
Terry Jones,Alison Telfer,1970-06-20,2012-01-01,,United Kingdom,actor
Louis C.K.,Alix Bailey,1995-01-01,2008-01-01,,Mexico,actor
Simon Wiesenthal,Cyla Wiesenthal,,,,Austria–Hungary,musician
Hedy Lamarr,W. Howard Lee,1953-01-01,1960-01-01,,Austria,actor
Hedy Lamarr,W. Howard Lee,1953-01-01,1960-01-01,,Austria,musician
Billy Crystal,Janice Crystal,,,,United States,actor
Dolph Lundgren,Anette Qviberg,1994-01-01,2011-01-01,,United States,actor
Irene Papas,José Kohn,1957-01-01,1957-01-01,divorce,Greece,actor
Iggy Pop,Wendy Weissberg,1968-01-01,1968-01-01,,United States,actor
John Huston,Lesley Black,1937-01-01,1945-01-01,divorce,United States,actor
Natalia Vodianova,Justin Portman,2002-09-15,2010-01-01,,Russia,actor
Terence Hill,Lori Zwicklbauer,,,,Italy,actor
John Barry,Jane Sidey,1969-01-01,1978-01-01,,United States,musician
John Huston,Celeste Shane,1972-08-01,1977-01-01,divorce,United States,actor
Terence Hill,Lori Zwicklbauer,,,,Germany,actor
Dolph Lundgren,Anette Qviberg,1994-01-01,2011-01-01,,Sweden,actor
John Barry,Jane Sidey,1969-01-01,1978-01-01,,United Kingdom,musician
Angelique Kidjo,Jean Hébrail,1987-01-01,,,France,actor
Simon Wiesenthal,Cyla Wiesenthal,,,,Hungary,musician
Simon Wiesenthal,Cyla Wiesenthal,,,,Second Polish Republic,musician
Jim Belushi,Jennifer Sloan,1998-01-01,2018-01-01,divorce,United States,actor
Roger Vadim,Catherine Marie Helene Schneider,1975-01-01,,,France,actor
Stephen Hillenburg,Karen Hillenburg,1998-01-01,2018-01-01,,United States,actor
Phil Collins,Andrea Bertorelli,1975-01-01,1980-01-01,divorce,United Kingdom,actor
Phil Collins,Andrea Bertorelli,1975-01-01,1980-01-01,divorce,United Kingdom,musician
Paul Simon,Peggy Harper,1969-01-01,1975-01-01,,United States,actor
Mike Nichols,Patricia Scott,1957-01-01,1960-01-01,divorce,United States,actor
Jane Wyman,Myron Futterman,1937-06-29,1938-12-05,divorce,United States,actor
Janet Leigh,John Kenneth Carlisle,,,,United States,actor
Janet Leigh,Stanley Reames,,,,United States,actor
Edward James Olmos,Kaija Keel,1971-01-01,1992-01-01,divorce,United States,actor
John le Carré,Ann Sharp,1954-01-01,1971-01-01,,United Kingdom,actor
Bela Lugosi,Lillian Arch,1933-01-01,1953-01-01,divorce,United States,actor
Wilford Brimley,Beverly Berry,,,,United States,actor
Lee Marvin,Betty Ebeling,,,,United States,actor
Wilford Brimley,Lynne Bagley,,,,United States,actor
Lee Marvin,Pamela Feeley,,,,United States,actor
Carmen Amaya,Juan Antonio Agüero González,,,,Spain,actor
Garry Marshall,Barbara Sue Wells,,,,United States,actor
Arturo Toscanini,Carla Toscanini De Martini,1897-06-21,1951-06-23,death of subject's spouse,Kingdom of Italy,musician
Alejandro Jodorowsky,Pascale Montandon-Jodorowsky,2003-01-01,,,France,actor
Jonathan Winters,Eileen Schauder,,,,United States,actor
Charles Aznavour,Evelyne Plessis,1956-01-01,1960-01-01,,Armenia,actor
David Lynch,Emily Stofle,2009-01-01,2023-01-01,divorce,United States,actor
David Lynch,Emily Stofle,2009-01-01,2023-01-01,divorce,United States,musician
Omm Kalthum,Hassan Alhifnawy,1954-01-01,1975-01-01,,Republic of Egypt,actor
Man Ray,Adon Lacroix,1914-01-01,1919-01-01,,France,actor
Joe Cocker,Pam Baker,,,,United Kingdom,actor
Pran,Shukla Sikand,,,,India,actor
Tom Selleck,Jillie Mack,1987-08-07,,,United States,actor
Leni Riefenstahl,Peter Jacob,1944-01-01,1946-01-01,,Germany,actor
Luke Evans,Fran Tomás,,,,United Kingdom,actor
John Lithgow,Mary Yeager,,,,United States,actor
John Lithgow,Mary Yeager,,,,United States,musician
George C. Scott,Patricia Reed Scott,1955-01-01,1960-01-01,divorce,United States,actor
Donald Pleasence,Meira Shore,1970-01-01,1988-01-01,divorce,United Kingdom,actor
John le Carré,Ann Sharp,1954-01-01,1971-01-01,,Ireland,actor
Michael Collins,Patricia Finnegan,1957-01-01,2014-01-01,death of subject's spouse,United States,actor
Ben E. King,Betty Nelson,1958-01-01,2015-04-30,death of subject,United States,musician
Stan Laurel,Vera Ivanova Shuvalova,1938-01-01,1940-01-01,divorce,United Kingdom,actor
Charles Aznavour,Micheline Rugel,1946-01-01,1952-01-01,,Armenia,actor
Donald Pleasence,Josephine Crombie,1959-01-01,1970-01-01,divorce,United Kingdom,actor
Carmen Miranda,David Sebastian,,,,Portugal,actor
Louis de Funès,Jeanne de Funès,1943-04-20,1983-01-27,death of subject,France,actor
Salman Rushdie,Rachel Eliza Griffiths,2021-09-01,,,India,actor
John le Carré,Jane Cornwell,1971-01-01,,,United Kingdom,actor
György Ligeti,Vera Ligeti,,,,Hungary,musician
Britney Spears,Sam Asghari,2022-06-09,2024-01-01,divorce,United States,actor
Donald Pleasence,Miriam Raymond,1941-01-01,1958-01-01,divorce,United Kingdom,actor
Johnny Weissmuller,Bobbe Arnst,1931-01-01,1933-01-01,divorce,Austria–Hungary,actor
Nicolas Cage,Erika Koike,2019-03-23,2019-05-31,annulment,United States,actor
Patrick Stewart,Sheila Falconer,1966-03-03,1990-01-01,divorce,United Kingdom,actor
Don Johnson,Kelley Phleger,1999-04-29,,,United States,actor
Alejandro Jodorowsky,Q108748877,,1971-01-01,,Chile,actor
Tigran Petrosian,Rona Petrosian,,,,Soviet Union,athlete
Johnny Weissmuller,Bobbe Arnst,1931-01-01,1933-01-01,divorce,United States,actor
Pran,Shukla Sikand,,,,Dominion of India,actor
Peter Lorre,Annemarie Brenning,1953-01-01,1964-01-01,,Weimar Republic,actor
Eusébio,Flora Claudina Burheim,,,,Portugal,athlete
Jean-Paul Belmondo,Élodie Constant,1959-01-17,1968-01-05,divorce,France,actor
Armen Dzhigarkhanyan,Tatyana Vlasova,,,,United States,actor
John le Carré,Jane Cornwell,1971-01-01,,,Ireland,actor
Karlheinz Stockhausen,Doris Stockhausen,1951-12-29,1965-01-01,divorce,Germany,musician
Charles Aznavour,Ulla Thorsell,1968-01-01,2018-01-01,,Armenia,actor
Sergio Leone,Carla Ranaldi,,,,Italy,actor
Jane Wyman,Ernest Wyman,1933-04-08,1935-01-01,divorce,United States,actor
Jerome K. Jerome,Georgina Elizabeth Henrietta Stanley Marris,,,,United Kingdom of Great Britain and Ireland,actor
Jeff Bridges,Susan Geston,1977-06-05,,,United States,actor
Omm Kalthum,Hassan Alhifnawy,1954-01-01,1975-01-01,,Kingdom of Egypt,actor
György Ligeti,Vera Ligeti,,,,Austria,musician
Nicolas Cage,Riko Shibata,2021-02-16,,,United States,actor
Leni Riefenstahl,Peter Jacob,1944-01-01,1946-01-01,,Sudan,actor
Alejandro Jodorowsky,Pascale Montandon-Jodorowsky,2003-01-01,,,Chile,actor
Alejandro Jodorowsky,Valérie Tremblay,,1982-01-01,,France,actor
George A. Romero,Christine Forrest,1981-01-01,2010-01-01,,United States,actor
Timothy Leary,Barbara Chase,1978-01-01,1992-01-01,divorce,United States,actor
Steven Seagal,Miyako Fujitani,1974-01-01,1987-01-01,,Serbia,actor
Steven Seagal,Miyako Fujitani,1974-01-01,1987-01-01,,Serbia,musician
Ben Jonson,Mrs Jonson,,,,Kingdom of England,actor
Dennis Rodman,Michelle Moyer,2003-01-01,2012-01-01,divorce,United States,actor
Petr Čech,Martina Čechová,2003-06-01,,,Czech Republic,athlete
Bryan Cranston,Mickey Middleton,1977-01-01,1982-01-01,,United States,actor
Steven Seagal,Miyako Fujitani,1974-01-01,1987-01-01,,United States,actor
Steven Seagal,Miyako Fujitani,1974-01-01,1987-01-01,,United States,musician
Pierre Beaumarchais,Geneviève-Madeleine Lévêque,,,,France,musician
Pierre Beaumarchais,Madeleine-Catherine Franquet,,,,France,musician
Claire Holt,Matt Kaplan,2016-01-01,2017-01-01,,United States,actor
Patty Duke,Harry Falk,1965-01-01,1969-01-01,divorce,United States,actor
Willie Nelson,Martha Matthews,1952-01-01,1962-01-01,,United States,actor
Charles Manson,Leona Stevens,,,,United States,musician
Charles Manson,Rosalie Willis,,,,United States,musician
George Carlin,Sally Wade,1998-01-01,2008-01-01,,United States,actor
Armen Dzhigarkhanyan,Tatyana Vlasova,,,,Russia,actor
Jim Varney,Jacqueline Drew,,,,United States,actor
Jim Varney,Jane Varney,,,,United States,actor
Claire Holt,Matt Kaplan,2016-01-01,2017-01-01,,Australia,actor
Christopher Plummer,Patricia Lewis,1962-05-04,1966-01-01,divorce,Canada,actor
Stanley Tucci,Felicity Blunt,,,,United States,actor
Martha Argerich,Chen Liang-Sheng,,1964-01-01,,Switzerland,musician
Stan Laurel,Ruth Rogers,1941-01-01,1946-01-01,divorce,United Kingdom,actor
George A. Romero,Christine Forrest,1981-01-01,2010-01-01,,Canada,actor
Stan Laurel,Ruth Rogers,1935-01-01,1937-01-01,divorce,United Kingdom,actor
Pran,Shukla Sikand,,,,British Raj,actor
Conrad Bain,Monica Sloan,1945-01-01,2009-02-26,death of subject's spouse,United States,actor
Gary Oldman,Gisele Schmidt,2017-08-01,,,United States,actor
Gary Oldman,Gisele Schmidt,2017-08-01,,,United Kingdom,actor
Kelly Clarkson,Brandon Blackstock,2013-01-01,2022-01-01,divorce,United States,actor
Oliver Hardy,Myrtle Reeves,,,,United States,actor
Alice Cooper,Sheryl Cooper,1976-03-03,,,United States,actor
Steven Seagal,Miyako Fujitani,1974-01-01,1987-01-01,,Russia,actor
Steven Seagal,Miyako Fujitani,1974-01-01,1987-01-01,,Russia,musician
Lily Allen,Sam Cooper,2011-06-11,2018-01-01,,United Kingdom,actor
James Gandolfini,Deborah Lin,,,,United States,actor
James Gandolfini,Marcy Wudarski,,,,United States,actor
Armen Dzhigarkhanyan,Tatyana Vlasova,,,,Soviet Union,actor
Peter Lorre,Annemarie Brenning,1953-01-01,1964-01-01,,United States,actor
Toshirō Mifune,Sachiko Yoshimine,1950-01-01,1995-01-01,,Japan,actor
Armen Dzhigarkhanyan,Tatyana Vlasova,,,,Armenia,actor
Q4030,Edna Thompson,,,,United States,musician
